url,doc_id,title,audience,department,category,language,document_version,license_or_permission,institution
https://ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/06_%20Quy%20%C4%91%E1%BB%8Bnh%20ngo%E1%BA%A1i%20ng%E1%BB%AF%20t%E1%BB%AB%20K70_ch%C3%ADnh%20quy_final.pdf, quy-dinh-dau-ra-ngoai-ngu, QuyDinhDauRaNgoaiNgu, student, ctsv, ctsv-policy, not-stated, public-source, hust
https://ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/QCDT_2025_5445_QD-DHBK.pdf,Quy-Che-Dao-Tao-Dai-Hoc-HUST,QuyCheDaoTaoDaiHocHUST,student,ctsv,ctsv-policy,vi,not-stated,public-source,hust
https://uet.vnu.edu.vn/wp-content/uploads/2022/12/Quy-ch%E1%BA%BF-%C4%90T%C4%90H-3626.pdf,Quy-Che-Dao-Tao-Dai-Hoc-UET-67,QuyCheDaoTaoDaiHocUET67,student,ctsv,ctsv-policy,vi,not-stated,public-source,uet
https://cdnportal.vnu.edu.vn/data/upload/vanban/2014/12/29/Final_QC-dH-_2014_Ban-hanh-25-12-2014.pdf,Quy-Che-Dao-Tao-Dai-Hoc-UET-66,QuyCheDaoTaoDaiHocUET66,student,ctsv,ctsv-policy,vi,not-stated,public-source,uet
https://handbook.uet.vnu.edu.vn/Quy%20dinh%20khen%20thuong%20tai%20Truong%20DHCN%202023.pdf,Thi-Dua-Khen-Thuong-UET-2023,ThiDuaKhenThuongUET2023,student,ctsv,scholarship-policy,vi,not-stated,public-source,uet
https://cdnportal.vnu.edu.vn/data/upload/2022/02/30316/Signed_Signed_286.pdf,Dinh-Huong-Nghien-cuu-khoa-hoc,DinhHuongNCKH,teacher,nckh,nckh-policy,vi,not-stated,public-source,uet
https://policy.vinuni.edu.vn/all-policies/library-policies-for-users/,library-access-policy,Library Access and Services Policy,all,library,library-policy,en,POL-LLR-001-V4.0,public-source,vinuni
https://library.vinuni.edu.vn/borrow-renew-return/,library-circulation,Circulation - Borrow Renew Return,all,library,circulation,en,not-stated,public-source,vinuni
https://library.vinuni.edu.vn/borrowing-priviledge/,library-borrowing-privilege,Library Borrowing Privilege,all,library,borrowing-policy,en,not-stated,public-source,vinuni
https://library.vinuni.edu.vn/about-us/hours-and-access/,library-hours-access,Library Hours and Access,all,library,access-policy,en,not-stated,public-source,vinuni
https://registrar.vinuni.edu.vn/academics/class-schedule-course-registration/,registrar-course-registration,Class Schedule and Course Registration,student,academic-affairs,course-registration,en,not-stated,public-source,vinuni
https://registrar.vinuni.edu.vn/academics/exams-grades/,registrar-exams-grades,Exams and Grades,student,academic-affairs,grading,en,not-stated,public-source,vinuni
https://policy.vinuni.edu.vn/all-policies/academic-regulations-for-full-time-undergraduate-programs/,policy-academic-regulations,Academic Regulations for Full-Time Undergraduate Programs,student,academic-affairs,academic-regulations,en,VU_HT03,public-source,vinuni
https://library.vinuni.edu.vn/services/borrow-and-request/graduate-faculty-and-instructors/,library-graduate-faculty,Library Services for Graduate Students Faculty and Instructors,faculty,library,borrowing-policy,en,not-stated,public-source,vinuni
